okay and on .. on the weekends what do you do on a weekend?	تمام و ف .. في اجازات أخر الاسبوع بتعملي ايه يوم اجازة؟	okay و ف .. في ال weekends بتعملي ايه يوم اجازة؟
because they .. didn't pay what other people paid to learn	علشان هم ما .. ما ماصرفوش الفلوس الللى ناس تانية صرفتها عشان تتعلم كتير قوى	علشان هم ما .. ما ماصرفوش الفلوس الللى ناس تانية صرفتها عشان تتعلم كتير قوى
they didn't exert the same effort that other people had exerted to learn.	هم ماتعبوش المجهود اللي ناس تانية تعبته جدا جدا عشان تتعلم	هم ماتعبوش المجهود اللي ناس تانية تعبته جدا جدا عشان تتعلم
yes, the play it and they like it but at the end they got paid more than other people that really worked hard in education so this is what affects the future.	و بيلعبوا أه حاجة بيحبوها و كل حاجة بيلعبوا، بس في الآخر في النهاية بياخدوا أكتر من أى حد ممكن يكون تعب جدا في .. في .. في .. في التعليم في الحاجات اللي هي بتأثر اصلا في المستقبل كله يعني	و بيلعبوا أه حاجة بيحبوها و كل حاجة بيلعبوا، بس في الآخر at the end بياخدوا أكتر من أى حد ممكن يكون تعب جدا في .. في .. في .. في education في الحاجات اللي هي بتأثر اصلا في المستقبل كله يعني
i can't say because it depends on work, field and position.	يعني لأ ماقدرش احدد على حسب الشغل و على حسب المجال و على حسب المنصب	يعني لأ ماقدرش احدد على حسب الشغل و على حسب ال field و على حسب ال position
no, definitely i don't know.	ماعرفش طبعا لأ	ماعرفش طبعا لأ
of course one like a manager team for example an engineer will earn a better salary than anyone else who's having a different job.	يعنى اكيد واحد مدير فريق كامل مثلا هندسة اكيد بيدخل رقم غير لما يكون واحد مثلا بيشتغل حاجة تانية اقل يعني	يعنى اكيد واحد manager team كامل مثلا engineering اكيد بيدخل رقم غير لما يكون واحد مثلا بيشتغل حاجة تانية اقل يعني
for example	مثلا	مثلا
international laugh	عالمي ضحك	عالمي laugh
okay thank you	تمام شكر	okay شكر
okay can you tell us? where were you born? or where are you from?	تمام طيب ممكن تقوليلنا اتولدتي فين او منين يعني؟	okay طيب ممكن تقوليلنا اتولدتي فين او منين يعني؟
where did you study? what was your education?	و اتعلمتي فين او تعليمك كان ايه و كده؟	و اتعلمتي فين او تعليمك كان ايه و كده؟
okay did you go to a national or an international school?	تمام انت كنت في مدرسة قومية ولا دولية؟	okay انت كنت في مدرسة national ولا international؟
okay, what's your major at university?	ماشي طيب أنت تخصص أيه في في الجامعة؟	ماشي طيب أنت major أيه في في الجامعة؟
what do you study in general?	و بتدرسي أيه عامة؟	و بتدرسي أيه عامة؟
tell us about your study.	احكيلنا عن دراستك يعني	احكيلنا عن دراستك يعني
okay, when did you choose your major?	تمام طيب أنت امتى اختارتي التخصص ده؟	okay طيب أنت امتى اختارتي ال major ده؟
when did you decide that you want computer science?	امتى حددتي قررتي أنك عاوزه حاسبات ومعلومات؟	امتى حددتي قررتي أنك عاوزه computer science؟
are you a member of clubs or scout or anything like a service organization and what are their objectives?	مثلا أندية أو كشافة او حاجة ما شابه يعني منظمة خدمية بتعمليها و بتهدف لإيه؟	مثلا clubs أو scout او حاجة ما شابه يعني service organization بتعمليها و بتهدف لإيه؟
what do you do there?	و بتعملى فيها أيه؟	و بتعملى فيها أيه؟
well okay what's your favorite movie?	ماشي تمام طيب أيه أكتر فيلم بتحبيه؟	ماشي okay طيب أيه أكتر فيلم بتحبيه؟
okay.	تمام	okay
okay.	تمام	okay
have you worked before part-time or full-time or have you attended an internship or something?	طيب اشتغلتي قبل كده دوام جزئي أو دوام كامل أو تدريب أو أي حاجة؟	طيب اشتغلتي قبل كده part-time أو full-time أو internship أو أي حاجة؟
can you tell us about it?	و ممكن تحكيلنا عنها؟	و ممكن تحكيلنا عنها؟
when did you feel that this was a turning point that made you think differently now?	أيه مثلا وقت في حياتك أكتر وقت حسيتى أنه نقطة تحول و خلاكي كنت بتفكري بطريقة و بعدين فكرتي بشكل تاني خالص دلوقت؟	أيه مثلا وقت في حياتك أكتر وقت حسيتى أنه turning point و خلاكي كنت بتفكري بطريقة و بعدين فكرتي بشكل تاني خالص دلوقت؟
why did you feel that you weren't able to continue in architecture and that you decided to change?	ليه حسيتى فجأة أن انت بعد أسبوعين أنت مش قادرة تمشي في عمارة و قررتي تغيرى؟	ليه حسيتى فجأة أن انت بعد أسبوعين أنت مش قادرة تمشي في architecture و قررتي تغيرى؟
okay	تمام	okay
can you tell us about your role models in everything?	ممكن تحكيلنا عن نماذج مثل أعلى أنت شيفاهم في كل حاجة	ممكن تحكيلنا عن role models أنت شيفاهم في كل حاجة
for example, you see this person as a role model in a certain field.	يعني مثلا شايفة الشخص مثل أعلى في كذه	يعني مثلا شايفة الشخص role model في كذه
and another role model in a another field	و شخص تاني مثل أعلى في كذا	و شخص تاني role model في كذا
no problem with that	مافيش مانع من ده	مافيش مانع من ده
this is normal.	دي حاجة طبيعية	دي حاجة طبيعية
is there anything else?	في حاجة تانية؟	في حاجة تانية؟
do you have any other role model in another fields?	في مجالات تانية ليكى مثل أعلى فيها؟	في fields تانية ليكى role model فيها؟
do you feel that it's difficult to deal with people of a different social level maybe in a higher or a lower level?	بتحسي ساعات بصعوبة لما بتيجي تتعاملي مع ناس من مستوى اجتماعي مختلف مثلا أقل أو اكتر او أعلى؟	بتحسي ساعات بصعوبة لما بتيجي تتعاملي مع ناس of different social level مثلا أقل أو اكتر او أعلى؟
okay well  what do you like the most about yourself? your way? your personality?	تمام طيب  أيه أكتر حاجة بتحبيها في نفسك؟ في طريقتك؟ في شخصيتك؟	okay طيب  أيه أكتر حاجة بتحبيها في نفسك؟ في طريقتك؟ في شخصيتك؟
