Batman vs Superman	batman banaam superman	batman vs superman
Justin Timberlake plays him so well too. I never knew about it either, but keep in mind it's based off the book. Who knows how much he actually was involved.	justine timberlake bhee unaka kirdar bahut achche seey nibhaate hain. main isake baare mein kabhi naheen jaanata thaa, lekin dhyaan rakhein kii yeh kitab parr adharit haye. kaun jaanata haye kii vaha vaastav mein kitna shamil thaa.	Justin Timberlake ne use bahut acha play kiya hai. Mujhe bhi is baare me kuch nahi pata tha, lekin ye dhyan me rakho k ye book pe based hai. Kise pata wo actually kitna involved tha.
That is true. I wonder if Mark Zuckerberg actually invited Sean Parker to live at Facebook headquarters!	yeh sach haye. mujhe ashcharya haye kii kyaa maark jukerberg ney vaastav mein shaun parker koo facebook mukhyalaya mein rahane key liye aamantrit kiya thaa!	Ye to sahi hai. Main is soch me hu ki kya Mark Zuckerberg ne Sean Parker ko actually Facebook ke headquarters me rehne k liye bulaya tha!
I love how he was doing it from a house. You know that much happened. If Sean Parker was there, who knows. I love how tech company start ups are out of houses. I wonder what the other continent was they were trying to expand to first.	mujhe achchha lagaa kii vaha ise ack ghar seey kaise curr rhaa thaa. aap jaanate hain kii bahut kuchh huaa. yadi shaun parker vahaan hotaa, tou kaun jaanata. mujhe yeh pasand haye kii kaise tech company key startup ghar seey baahar nikalate hain. mujhe ashcharya haye kii way pahale kiss dusare mahadweep kaa vistaar karane kii koshish curr rahey they.	Unka ye sab ghar se karna mujhe pasand aaya. Tumhe pata hai kitna kuch hua. Agar Sean Parker waha rahta to, kise pata. I love kaise ye tech company start up ghar se chal rahi hai. I wonder wo kaunse dusre continent me pahle expand karna chahte the
I think that it is pretty funny considering the success he gained... and "Thefacebook"? First Facesmash, then Harvard Connection then Thefacebook... yikes!	mujhe lagata haye kii usey millie safalata koo dekhate hue yeh kaafee hasyaspad haye... aur "dafesbook"? pahale facesmash, phir harvard connection, phir dafesbook... vaah!	I think  uski success ko consider  karte hue Thefacebook kafi funny hai. Pahle Facesmash, phir Harvard Connection phir TheFacebook yikes!
Thefacebook is just rotten. It seems like Zuckerberg really shafted everyone else in the situation.	facebook bilkul sarh chuka haye. aisaa lagata haye jaise zuckerberg ney vaastav mein iss sthiti mein baaki sabhi koo prabhaavit kiya haye.	Thefacebook to bilkul bekaar hai. Aisa lagta hai Zuckerberg ne sahi me dusre logo ki leli
It's kind of creepy how he just waited for Albright to accept the friend request, too.	yeh kaafee daravana haye kii kaise usane albrite key friend request sweekar karane kaa intezar kiya.	Uska Albright ka friend request accept karne tak wait karna kaafi creepy tha
It's really sort of sad to me. He hasn't really changed from the beginning of the story.	yeh merey liye sachmuch bahut dukhad haye. vaha vaastav mein kahani kii shuruat seey naheen badala haye.	Mujhe to ye sad laga. Wo story ki beginning se jyada badla nahi.
That's how I feel. I'm not surprised he had to do a settlement.	mujhe aisaa lagaata haye. mujhe ashcharya naheen haye kii usey samjhauta karna padaa.	Mujhe to aisa lagta hai. Main surprise nahi hu ke use settlement karna pada
He founded the biggest social network the world has ever seen, but he seems like a person who people hate.	unhone duniya key abb taka key sabse badey soshal network kii sthaapana kii, lekin vaha ack aise vyakti kii tarah dikhate hain jinase loga nafrat karate hain.	Usne duniya ka sabse bada social network banaya but wo ek aisa aadmi lagta hai jise log hate karte hai
Extremely misanthropic. I would agree. It's overall kind of sad.	atyant manavadveshi. mujhe sweekar hoga. yeh kull milakar dukhad haye.	Bilkul misanthropic. Main to agree karta hu. Overall ye sad hai.
At least he didn't use his intelligence for true evil.	cumm seey cumm usane apani buddhi kaa prayog sachchi burai key liye naheen kiya.	USNE  BURAEE KARNE KE LIYE DIMAAK KA UPAYOG NAHI KIYA
are you still there?	kyaa aap abhee bhee hain?	TUM ABHEE BHI VAHAAN HO
It's been 10 minutes	10 minut hoe gaye	10 MINUTES HO GAYA
The movie is Toy Story.	film haye toy story.	movie hai Toy Story
From 1995, director is John Lasseler, 100% rotten tomatoes, 9/10 score.	1995 seey, nirdeshak johnn lasseller hain, 100% sadey hue tamatar, 9/10 score.	1995 se, director hain John Lasseler, rotten tomatoes mein100%, 9/10 score hai
Hello, have you seen Toy Story? I did. I Agree with the critical that is has the purity and ecstatic freedom of imagination. What do you think?	namaste, kyaa aapane toy story dekhi haye? maine kiya. main usa aalochana seey sahmat huun jisamen kalpana kii pavitrata aur anandmay swatantrata haye. aap kyaa sochate hain?	hello, kya tumne Toy Story dekha hai? main manta hoon critic se ki usme purity aur ecstatic freedom of imagination hai.kya sochte ho tum?
I agree, it was a very popular movie.	main sahmat huun, yeh ack bahut lokpriya film thee.	haan agreed,woh bahut popular movie tha.
I love animations and Pixar is amazing. This one was really perfect. As it was mentioned a work of genius.	mujhe animation pasand hain aur pixer adbhut haye. yeh vaastav mein uttam thaa. jaisa kii bataaya gayaa yeh pratibha kaa kaam haye.	mujhe animations pasand hain aur Pixar amazing hai.yeh bahut perfect tha.jaise mention kiya tha ki ye ek genius ka work hai.
I also love Pixar	mujhe pixer bhee pasand haye	mujhe bhi pixar pasand hai
Maybe they'll make another Toy Story movie.	shayed way ack aur toy story film banaayenge.	shayad wo aur ek toy story movie banayenge
The interaction between Woody and Buzz is really nice. Also hearing Tom Hanks as Wood is incredible.	woody aur buzz key beach baatchit vaastav mein achchi haye. tomm hanks koo wood key roop mein sunana bhee avishvasaniya haye.	woody aur buz ke bhitar ka sambhashan achha hai. aur tom hank ka aawaj woody ko suit hota hai achese
Oh yeah, classic voice	oh haan, classic aavaaz	are ha , classic awaj hai
I like how their friendship grew.	mujhe pasand aayaa kii unaki dosti kaise badhee.	mujhe acha lgta hai ki kaise unke friendship badhti hai
It was really interesting to see they change from rivals to friends	unhein pratidvandiyon seey mitron mein badalate dekhana vakai dilchasp thaa	ye dekhne mai acha tha ki kaise wo dushman se dost bante hai
I like the supporting toys too.	mujhe sahaayak khilaune bhee pasand hain.	mujhe sah toys bhi ache lage
For sure Woody and Buzz are amazing but also the other are perfect.	nishchit roop seey woody aur buzz adbhut hain lekin anya bhee paripurna hain.	woody and buzz to ache hai hi but baki log bhi ache the
Isn't there a few Toy Story movies?	kyaa vahaan kuchh toy story filmein naheen hain?	toy story ke kum movie =s nahi hai na
Yes for sure. On the begging the scene of Andy's party is really breathtaking don't you think?	haan jaroor. bheekh maangane parr andy kii party kaa drishya vakai lubhavana haye, kyaa aapako naheen lagata?	ha hai. bhik magne ke scene mai andy ki party bahot achi thi
Yeah, when he first got Buzz.	haan, jaba usey pahali baar buzz milaa.	ha aur jab uske pehle buzz mila
You still there?	aap abhee bhee taka vahaan haye?	kya tum vaha abhi tak ho?
For sure, and the other toys are very funny	nishchit roop seey, aur anya khilaune bahut mazedaar hain	haa sue,or dusare toy bhi bahut funny hai
Who is your favorite?	aapka pasandida kaun haye?	aap ka favorite kon hai?
Ohh difficult  to say. But I suppose Mr Potato Head.	oh, kahana mushkil haye. lekin meraa maanana ​​haye mister potato haid.	ye bahut muskil se kahana hai ki mei Mr potato head ke support mei hui.
And what about your?	aur aapka kyaa?	aapka apne bare meikya khayal hai?
Bopeep I think	mujhe lagata haye bopip	mene socha bopeep
And what about the scene on Pizza Planet. What a confusion, right?	aur pizza planet parr drishya key baare mein kyaa? cassie ulajhan haye, haye naa?	pizza planet ke bare mei kya kahana hai. abhi kya confusion hai?
Yeah!	haan!	yeah!
but that's when the little aliens came in	lekin tabhi chhote allion ander aaye	jab little aliens aaye
For sure, and also all the run to be able to get there. Really nice.	nishchit roop seey, aur vahaan pahunchane mein saksham honey key liye poori daud bhee. vaastav mein pyaara.	haa kyu nahi, yaha sabhi run mil sakte hai. bahut achcha
And what about Andy's neighbor Sid. What a terrifying children for the toys, right?	aur andy key padosi sid key baare mein kyaa? khilaunon key liye bachche kitane daraavane hotey hain, haye naa?	Andys ke neighbor Sid ke baase  mei kya khayal hai. toy ke liye  terrifying children right hsi kya?
Andy's RC car is really funny don't you think?	andy kii rc kaar vaastav mein mazedaar haye, kyaa aapako naheen lagata?	Andy's RC car bahut funny hai aap ka kya khayal hai?
I don't remember either.	mujhe bhee yaad naheen.	mujhe Yaad nahi hai.
Woody flying back to Andy's car is really a nice one.	woody kaa andy kii kaar taka vaapas udana vaastav mein achchha haye.	Woody Andys ki car mei vapash aata hai jo ek achchi baat hai
Have you enjoyed the end of the history?	kyaa aapane itihas key anta kaa anand liya?	kya aap ne history ke end ko enjoy kiya?
What do you mean?	aapka kyaa matlab haye?	tumhara kya matlab hai?
How the things come to the end, meaning a happy end right?	cheezen anta taka kaise pahunchati hain, jiska matlab sukhad anta hotaa haye, haye naa?	things kab end hogi  means happy or right ?
Oh definitely!	oh nishchit roop seey!	ha definitely!
hello	namaste	hello
what is the name of the movie?	movie kaa naam kyaa haye?	movie ka nam kya tha?
hello	namaste	hello
Did you watch 'The Post'?	kyaa aapane 'dha post' dekhi?	kya tumne 'The Post' dekhi hai?
No, i didnt	naheen, maine naheen kiya	nahi mene nahi kia
what genre is it?	yeh kaun see vidhaa haye?	konsa genre hai ye?
it is 'Historical, Political'	yeh 'aitihaasik, raajneetik' haye	ye 'Historical, Political' hai
directed by Steven Spielberg	steven spielberg dwara nirdeshit	Steven Spielberg ne isey direct kiya
oh. Does it have any actors that I might know of?	oh. kyaa isamen koee aisaa abhineta haye jisake baare mein main jaanata hoe?	oh. Kya isme koi actor hai jiska mujhe pata ho?
Maryl Stree	maryl streep	Maryl Stree
Streep	streep	Streep
Tom Hanks	toum hanks	Tom Hanks
is it a new movie?	kyaa yeh ack naee film haye?	kya ye nayi movie hai?
yes, 2017	haan, 2017	haan, 2017
oh, I guess im a bit behind the times. has it been well received?	oh, mujhe lagata haye kii main samay seey thodaa peechhe huun. kyaa iska achchha swaagat huaa haye?	oh, mujhe lagta hai main thoda samay mein piche hun. kya ye well received hai?
I think it's worth watching	mujhe lagata haye kii yeh dekhane laayak haye	main sochta hun ye worth watching hai
do you want to know something about plot?	kyaa aap kathaanak key baare mein kuchh jaanana chaahte hain?	kya tum plot ke bare mei janana chahte ho?
what type of "post" is it named after? whats the movie about?	yeh kiss prakaar kii "post" kaa naam haye? film kiss baare mein haye?	baad mei post ka kya naam tha? movie ke bare mei kya kahna hai?
yes please	jee kahiye	haa please
The Post depicts the story of attempts by journalists at The Washington Post to publish the Pentagon Paers	yeh post washington post key patrakaron dwara pentagon payers koo prakaashit karane key prayason kii kahani darshaati haye	Is post mei  pentagon paerss ko prakashit karne ke liye journalists ki attempts ki story hai
Papers	patron	papers
oh. is that related to the vietnam war?	oh. kyaa iska sambandh viyatnam yuddh seey haye?	ye kya vietnam war se related hai?
yes	haan	haa
is the movie about a government cover up?	kyaa yeh film sarkari coverup key baare mein haye?	ye movie government cover up ke bare mai hai?
the government always has something to hide ;)	sarkaar key paas chhipaane key liye hamesha kuchh naa kuchh hotaa haye ;)	goverment hamesh kuch chupane ki koshish karti hai ;)
isnt that the truth!	kyaa yeh sach naheen haye!	ye kya sach hai!
it sounds like a movie id enjoy	yeh kissy movie ids jaisa lagata haye, anand leejiye	Mujhe lagta he ki me ye movie enjoy karunga
I think that this film is worth watching	mujhe lagata haye kii yeye film dekhane laayak haye	Mujhe lagta he ye movie dekhne layak he
is it a long show?	kyaa yeh ack lamba show haye?	Kya yaha lamba show he?
do you know the length?	kyaa aap lambai jaanate hain?	Kya tumhe length pata he?
I dont know the length	main lambai naheen jaanata	Mujhe length nai pata.
but probably about 1.30h as usual...	lekin shayed hamesha kii tarah lagbhag 1.30 ghante...	Lekin probably 1.30h as usual..
do you know if it has won any awards?	kyaa aap jaanate hain kii isane koee puraskar jeetaa haye?	Kya tumhe pata he agar koi award jita he?
I don't know	mujhein naheen pataa	Mujhe nahi pata
well thanks for telling me about the post. :)	achchha, mujhe post key baare mein bataane key liye dhanyavaad. :)	Thanks mujhe post ke bare me batane ke liye.
Hello! Do you like superhero movies?	namaste! kyaa aapako superheiro filmein pasand hain?	Namaste! aap ko superhero movies aaccha lagega kya?
yes. batman begins! I think this a great batman film. have you seen it?	haan. batman shuru hotaa haye! mujhe lagata haye kii yeh ack behtareen batman film haye. kyaa aapane ise dekhaa haye?	ha. batman start huwa! mene socha hi ki ee batman film tho great hi. aap dekha hi kya?
Yes, I have. Christian Bale is my favorite Batman so far.	haan merey paas haye. christian bell meraa abb taka kaa pasandida batman haye.	ha. mere pas hi. Christian Bale tho mera favorite Batman hi abhi tak.
Do you usually check the ratings of movies before you see them?	kyaa aap aamtaur parr filmein dekhane seey pahale unaki rating dekhate hain?	aap movies ka ratings dekega kya , dekhne ke pehle ?
I usually do. but the rating dose not determine whether i will watch the movie or not	main aamtaur parr kartaa huun. lekin rating kii khuraak yeh taya naheen karati kii main film dekhunga yaa naheen	mene dekungi. lekin rating se kuch farak nahi padega , jho mene dekungi ya nahi.
The film has several great big name actors, which is another reason I like this one and would watch it based on the actors alone	film mein kaee badey naami kalakar hain, yahee ack aur kaaran haye kii mujhe yeh pasand haye aur main ise kewal abhinetaon key aadhar parr hii dekhunga	ee film tho bahut great bada actors tha, ee tho dusara reason hi mere kho aacha laga aur mene dekungi bina actors keliye.
I agree, there are quite a few great actors in Batman Begins. I like Liam Neeson too, even though he is one of the villains.	main sahmat huun, batman begins mein kaee mahaan kalakar hain. mujhe liam neesan bhee pasand haye, bhale hii vaha khalnayakon mein seey ack haye.	ha, bahut sara great actors hi Batman Begins me. mene like karungi Liam Neeson tho bi, vo tho eek villain be hi.
